"","sp","lon","lat","grupo"
"271","Dendropsophus bipunctatus",-41.4722,-22.1067,"amphibians"
"272","Dendropsophus bipunctatus",-43.2075,-22.9028,"amphibians"
"273","Dendropsophus bipunctatus",-43.16306,-21.5108,"amphibians"
"274","Dendropsophus bipunctatus",-39.734167,-14.138056,"amphibians"
"275","Dendropsophus bipunctatus",-40.545564,-19.888659,"amphibians"
"276","Dendropsophus bipunctatus",-43.7075,-22.7439,"amphibians"
"277","Dendropsophus bipunctatus",-40.0978,-19.1969,"amphibians"
"278","Dendropsophus bipunctatus",-42.965556,-22.412222,"amphibians"
"279","Dendropsophus branneri",-40.273333,-19.820278,"amphibians"
"280","Dendropsophus branneri",-35.75426436,-6.524721306,"amphibians"
"281","Dendropsophus branneri",-36.6797,-9.16972,"amphibians"
"282","Dendropsophus branneri",-40.600278,-19.935833,"amphibians"
"283","Dendropsophus branneri",-41.066667,-20.833333,"amphibians"
"284","Dendropsophus branneri",-35.8811,-7.23056,"amphibians"
"285","Dendropsophus branneri",-40.416667,-20.266667,"amphibians"
"286","Dendropsophus branneri",-40.42,-20.263889,"amphibians"
"287","Dendropsophus branneri",-40.875278,-19.873889,"amphibians"
"288","Dendropsophus branneri",-40.511,-20.658,"amphibians"
"289","Dendropsophus branneri",-40.3697,-19.8319,"amphibians"
"290","Dendropsophus branneri",-39.049167,-14.789167,"amphibians"
"291","Dendropsophus branneri",-39.280278,-14.785833,"amphibians"
"292","Dendropsophus branneri",-39.842778,-14.283611,"amphibians"
"293","Dendropsophus branneri",-40.833889,-21.011111,"amphibians"
"294","Dendropsophus branneri",-40.541667,-19.412778,"amphibians"
"295","Dendropsophus branneri",-34.865,-7.145,"amphibians"
"296","Dendropsophus branneri",-37.185903,-10.800021,"amphibians"
"297","Dendropsophus branneri",-39.992778,-19.408056,"amphibians"
"298","Dendropsophus branneri",-40.072222,-19.391111,"amphibians"
"299","Dendropsophus branneri",-40.052222,-18.009722,"amphibians"
"300","Dendropsophus branneri",-35.1261,-6.83861,"amphibians"
"301","Dendropsophus branneri",-40.683056,-20.412778,"amphibians"
"302","Dendropsophus branneri",-39.580278,-16.377778,"amphibians"
"303","Dendropsophus branneri",-35.9567,-9.59722,"amphibians"
"304","Dendropsophus branneri",-34.880833,-8.054167,"amphibians"
"305","Dendropsophus branneri",-36.0936,-9.78111,"amphibians"
"306","Dendropsophus branneri",-40.083333,-13.857778,"amphibians"
"307","Dendropsophus branneri",-36.3508,-9.78194,"amphibians"
"308","Dendropsophus branneri",-39.858889,-18.716111,"amphibians"
"309","Dendropsophus branneri",-40.307778,-20.128611,"amphibians"
"310","Dendropsophus branneri",-43.915556,-3.543333,"amphibians"
"311","Dendropsophus decipiens",-40.633333,-20.8,"amphibians"
"312","Dendropsophus decipiens",-40.273333,-19.820278,"amphibians"
"313","Dendropsophus decipiens",-40.600278,-19.935833,"amphibians"
"314","Dendropsophus decipiens",-41.3244,-21.7542,"amphibians"
"315","Dendropsophus decipiens",-37.05833333,-10.54166667,"amphibians"
"316","Dendropsophus decipiens",-41.6611,-22.1872,"amphibians"
"317","Dendropsophus decipiens",-40.42,-20.2639,"amphibians"
"318","Dendropsophus decipiens",-40.42,-20.263889,"amphibians"
"319","Dendropsophus decipiens",-40.95,-20.433333,"amphibians"
"320","Dendropsophus decipiens",-40.406667,-19.9325,"amphibians"
"321","Dendropsophus decipiens",-40.591667,-20.705556,"amphibians"
"322","Dendropsophus decipiens",-40.511,-20.658,"amphibians"
"323","Dendropsophus decipiens",-40.3697,-19.8319,"amphibians"
"324","Dendropsophus decipiens",-47.55,-24.7,"amphibians"
"325","Dendropsophus decipiens",-43.775278,-22.852222,"amphibians"
"326","Dendropsophus decipiens",-40.500556,-18.715556,"amphibians"
"327","Dendropsophus decipiens",-39.933333,-19.391111,"amphibians"
"328","Dendropsophus decipiens",-40.072222,-19.391111,"amphibians"
"329","Dendropsophus decipiens",-40.052222,-18.009722,"amphibians"
"330","Dendropsophus decipiens",-43.4511,-22.7592,"amphibians"
"331","Dendropsophus decipiens",-41.0467,-21.0989,"amphibians"
"332","Dendropsophus decipiens",-43.2075,-22.9028,"amphibians"
"333","Dendropsophus decipiens",-39.734167,-14.138056,"amphibians"
"334","Dendropsophus decipiens",-40.529722,-20.100556,"amphibians"
"335","Dendropsophus decipiens",-39.858889,-18.716111,"amphibians"
"336","Dendropsophus decipiens",-43.7075,-22.7439,"amphibians"
"337","Dendropsophus decipiens",-40.0978,-19.1969,"amphibians"
"338","Dendropsophus decipiens",-42.8819,-20.7539,"amphibians"
"339","Dendropsophus elegans",-48.7119,-25.4286,"amphibians"
"340","Dendropsophus elegans",-40.273333,-19.820278,"amphibians"
"341","Dendropsophus elegans",-44.439722,-22.670278,"amphibians"
"342","Dendropsophus elegans",-41.066667,-20.833333,"amphibians"
"343","Dendropsophus elegans",-48.841809,-25.299088,"amphibians"
"344","Dendropsophus elegans",-41.6611,-22.1872,"amphibians"
"345","Dendropsophus elegans",-42.139167,-19.789722,"amphibians"
"346","Dendropsophus elegans",-40.477291,-20.281314,"amphibians"
"347","Dendropsophus elegans",-40.521944,-20.281111,"amphibians"
"348","Dendropsophus elegans",-40.42,-20.2639,"amphibians"
"349","Dendropsophus elegans",-40.42,-20.263889,"amphibians"
"350","Dendropsophus elegans",-42.01703,-22.550486,"amphibians"
"351","Dendropsophus elegans",-41.184722,-20.603611,"amphibians"
"352","Dendropsophus elegans",-43.467035,-20.083807,"amphibians"
"353","Dendropsophus elegans",-40.635372,-19.87743,"amphibians"
"354","Dendropsophus elegans",-40.875278,-19.873889,"amphibians"
"355","Dendropsophus elegans",-40.6592,-20.3633,"amphibians"
"356","Dendropsophus elegans",-40.406667,-19.9325,"amphibians"
"357","Dendropsophus elegans",-40.591667,-20.705556,"amphibians"
"358","Dendropsophus elegans",-48.902644,-25.874645,"amphibians"
"359","Dendropsophus elegans",-48.783754,-25.783811,"amphibians"
"360","Dendropsophus elegans",-39.166992,-13.833787,"amphibians"
"361","Dendropsophus elegans",-47.55,-24.7,"amphibians"
"362","Dendropsophus elegans",-48.59,-24.58,"amphibians"
"363","Dendropsophus elegans",-37.4253,-10.685,"amphibians"
"364","Dendropsophus elegans",-39.280278,-14.785833,"amphibians"
"365","Dendropsophus elegans",-40.833889,-21.011111,"amphibians"
"366","Dendropsophus elegans",-47.17,-24.28,"amphibians"
"367","Dendropsophus elegans",-48,-24.69,"amphibians"
"368","Dendropsophus elegans",-40.500556,-18.715556,"amphibians"
"369","Dendropsophus elegans",-40.400556,-18.710556,"amphibians"
"370","Dendropsophus elegans",-35.846685,-8.72904,"amphibians"
"371","Dendropsophus elegans",-35.84724,-8.721262,"amphibians"
"372","Dendropsophus elegans",-37.185903,-10.800021,"amphibians"
"373","Dendropsophus elegans",-40.071944,-19.391111,"amphibians"
"374","Dendropsophus elegans",-39.732222,-19.138333,"amphibians"
"375","Dendropsophus elegans",-40.150556,-18.030678,"amphibians"
"376","Dendropsophus elegans",-43.02926,-22.576317,"amphibians"
"377","Dendropsophus elegans",-43.040556,-22.653056,"amphibians"
"378","Dendropsophus elegans",-43.0406,-22.6528,"amphibians"
"379","Dendropsophus elegans",-40.052222,-18.009722,"amphibians"
"380","Dendropsophus elegans",-44.100658,-22.991871,"amphibians"
"381","Dendropsophus elegans",-40.3539,-17.8392,"amphibians"
"382","Dendropsophus elegans",-40.773555,-20.430738,"amphibians"
"383","Dendropsophus elegans",-40.683056,-20.412778,"amphibians"
"384","Dendropsophus elegans",-41.3664,-21.0642,"amphibians"
"385","Dendropsophus elegans",-48.834167,-25.476944,"amphibians"
"386","Dendropsophus elegans",-39.580278,-16.377778,"amphibians"
"387","Dendropsophus elegans",-43.1786,-22.505,"amphibians"
"388","Dendropsophus elegans",-48.36,-24.09,"amphibians"
"389","Dendropsophus elegans",-39.734167,-14.138056,"amphibians"
"390","Dendropsophus elegans",-40.529722,-20.100556,"amphibians"
"391","Dendropsophus elegans",-36.3508,-9.78194,"amphibians"
"392","Dendropsophus elegans",-44.65705,-22.643258,"amphibians"
"393","Dendropsophus elegans",-44.569722,-22.64,"amphibians"
"394","Dendropsophus elegans",-48.912117,-25.794992,"amphibians"
"395","Dendropsophus elegans",-49.2064,-25.5347,"amphibians"
"396","Dendropsophus elegans",-45.31,-23.22,"amphibians"
"397","Dendropsophus elegans",-39.858889,-18.716111,"amphibians"
"398","Dendropsophus elegans",-46.63,-23.54,"amphibians"
"399","Dendropsophus elegans",-42.45812,-22.847153,"amphibians"
"400","Dendropsophus elegans",-43.7075,-22.7439,"amphibians"
"401","Dendropsophus elegans",-40.333368,-20.167147,"amphibians"
"402","Dendropsophus elegans",-40.3078,-20.1286,"amphibians"
"403","Dendropsophus elegans",-40.0978,-19.1969,"amphibians"
"404","Dendropsophus elegans",-42.965556,-22.412222,"amphibians"
"405","Dendropsophus elegans",-49.27095,-26.826035,"amphibians"
"406","Dendropsophus elegans",-44.83372,-23.383815,"amphibians"
